League,Season,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG All.,FGA All.,FG% All.,3P All.,3PA All.,3P% All.,2P All.,2PA All.,2P% All.,FT All.,FTA All.,FT% All.,ORB All.,DRB All.,TRB All.,AST All.,STL All.,BLK All.,TOV All.,PF All.,PTS All.,Wins,Losses
NBA,2024,Atlanta Hawks,82,19855,42.6,91.6,0.465,13.6,37.3,0.364,29,54.3,0.535,18.4,23,0.797,12.4,31.9,44.2,26.3,7.4,4.5,13.4,18.4,117.2,44.2,89.3,0.495,13.9,36.1,0.384,30.3,53.2,0.57,17.1,21.6,0.792,10.5,33.3,43.8,27.9,7.7,5.6,14,19.3,119.4,36,46
NBA,2024,Boston Celtics,82,19830,44.9,92.1,0.487,16.8,43.4,0.388,28,48.8,0.575,16.6,20.6,0.807,10.9,36.4,47.3,27.5,6.9,6.7,12.2,16.5,123.2,42.4,93.6,0.453,13.2,37.5,0.352,29.2,56.1,0.52,13.6,17.7,0.768,11.3,33,44.3,25.4,6.4,3.8,12.3,17.6,111.6,64,18
NBA,2024,Brooklyn Nets,82,19805,41.7,91.4,0.456,13.6,37.6,0.362,28.1,53.7,0.522,16.2,21.4,0.756,11.7,33.4,45.2,26.3,7,5.3,13.5,19,113.2,42.6,90.7,0.47,13.3,35.8,0.372,29.3,54.9,0.534,17.5,21.7,0.807,10.5,34.9,45.4,26.1,7,5.1,12.9,18.7,116.1,32,50
NBA,2024,Charlotte Hornets,82,19730,41,89.2,0.46,12.4,34.9,0.355,28.7,54.3,0.528,14.9,18.9,0.786,9.6,31.7,41.3,25.4,7,4.6,14.1,18.4,109.3,44.5,89.9,0.494,14,37.1,0.377,30.5,52.9,0.577,16.9,21.2,0.796,10.8,35.7,46.5,29.5,7.3,5,14,17.9,119.8,21,61
NBA,2024,Chicago Bulls,82,19980,43,91.6,0.47,11.7,32.8,0.358,31.3,58.7,0.532,17.1,21.6,0.791,11.4,33.4,44.8,25.6,8,4.9,12.5,19.2,114.9,42,89,0.473,14.9,40.4,0.37,27.1,48.6,0.558,17.3,22.3,0.776,10.3,34,44.4,28.5,6.9,5,14.3,19.2,116.3,39,43
NBA,2024,Cleveland Cavaliers,82,19805,42.7,89.2,0.479,13.8,37.6,0.367,28.9,51.5,0.561,15.9,20.8,0.765,10.1,34.2,44.3,28.7,7.5,4.7,13.9,17.9,115.2,41.4,89.5,0.463,12.8,34.6,0.371,28.6,54.9,0.521,17,21.5,0.791,10.3,33.4,43.6,25.8,7.9,5.1,13.9,19.2,112.7,48,34
NBA,2024,Dallas Mavericks,82,19705,43,89.5,0.481,14.6,39.5,0.369,28.5,50,0.569,17,22.4,0.758,9.7,33.2,42.9,25.6,6.9,4.9,12.5,18.3,117.6,42.9,90.2,0.475,13.1,35.6,0.368,29.8,54.7,0.545,16.6,21.6,0.77,10.9,34.1,45,27.5,7.3,4,13.7,20.3,115.4,50,32
NBA,2024,Denver Nuggets,82,19705,45.4,91.5,0.496,12,32.2,0.374,33.4,59.4,0.562,15.6,20.5,0.762,11.1,34.8,45.8,30.4,7.4,5.7,13,18.7,118.5,41.9,90.7,0.462,11.6,32.5,0.355,30.3,58.1,0.522,17.7,22.9,0.772,11.2,32.4,43.6,26.5,7.3,5,12.8,18.5,113,57,25
NBA,2024,Detroit Pistons,82,19755,40.8,88.1,0.463,11,31.7,0.348,29.8,56.4,0.528,17,21.7,0.785,10.5,32.8,43.3,25.4,6.5,4.7,15.2,20.6,109.7,43.6,88.9,0.49,12.1,32.7,0.37,31.5,56.2,0.56,19.6,24.5,0.8,9.6,33.4,43.1,27,8.9,6,12.4,17.7,118.8,14,68
NBA,2024,Golden State Warriors,82,19830,43.7,91.7,0.477,14.8,38.9,0.38,28.9,52.8,0.548,15.6,20.1,0.78,12.2,34.6,46.7,29.3,7,4.6,14.3,19.5,117.8,42.1,90.5,0.466,13.3,37,0.359,28.9,53.5,0.539,17.7,22.4,0.788,10.9,32.1,42.9,26.7,7.7,5,13,17.9,115.2,46,36
NBA,2024,Houston Rockets,82,19855,41.8,91.1,0.459,12.7,36.2,0.352,29.1,54.9,0.53,18.1,23.4,0.773,11.5,34,45.5,24.9,7.8,4.6,12.8,20.8,114.5,40.8,88.3,0.463,12.4,35.5,0.348,28.5,52.8,0.54,19.3,25.2,0.767,10.7,34.2,45,24.4,7.3,5.9,13.8,19.7,113.4,41,41
NBA,2024,Indiana Pacers,82,19705,46.1,91,0.507,13,34.6,0.374,33.2,56.4,0.589,15.8,20.2,0.782,9.9,30.9,40.8,30.2,7.6,5.8,12.7,21,121,43.7,88.1,0.496,10.5,28.8,0.365,33.2,59.3,0.56,20.1,25.5,0.787,10.8,31.8,42.6,24.2,6.5,5.3,13.7,18,118,47,35
